,event,timestamp,user_id,request,movie_name,movie_rating,movie_year
15,"2022-10-18T05:15:52,537069,GET /rate/the+shawshank+redemption+1994=4",2022-10-18T05:15:52,537069,GET /rate/the+shawshank+redemption+1994=4,the+shawshank+redemption+1994,4,1994
16,"2022-10-18T05:15:52,646528,GET /rate/the+shawshank+redemption+1994=4",2022-10-18T05:15:52,646528,GET /rate/the+shawshank+redemption+1994=4,the+shawshank+redemption+1994,4,1994
17,"2022-10-18T05:15:53,602952,GET /rate/the+shawshank+redemption+1994=4",2022-10-18T05:15:53,602952,GET /rate/the+shawshank+redemption+1994=4,the+shawshank+redemption+1994,4,1994
18,"2022-10-18T05:15:54,508186,GET /rate/the+shawshank+redemption+1994=3",2022-10-18T05:15:54,508186,GET /rate/the+shawshank+redemption+1994=3,the+shawshank+redemption+1994,3,1994
19,"2022-10-18T05:15:55,308077,GET /rate/the+usual+suspects+1995=3",2022-10-18T05:15:55,308077,GET /rate/the+usual+suspects+1995=3,the+usual+suspects+1995,3,1995
20,"2022-10-18T05:15:55,290038,GET /rate/the+godfather+1972=5",2022-10-18T05:15:55,290038,GET /rate/the+godfather+1972=5,the+godfather+1972,5,1972
21,"2022-10-18T05:15:55,494170,GET /rate/the+shawshank+redemption+1994=4",2022-10-18T05:15:55,494170,GET /rate/the+shawshank+redemption+1994=4,the+shawshank+redemption+1994,4,1994
22,"2022-10-18T05:15:56,469418,GET /rate/the+usual+suspects+1995=4",2022-10-18T05:15:56,469418,GET /rate/the+usual+suspects+1995=4,the+usual+suspects+1995,4,1995
23,"2022-10-18T05:15:56,185929,GET /rate/alyce+kills+2011=3",2022-10-18T05:15:56,185929,GET /rate/alyce+kills+2011=3,alyce+kills+2011,3,2011
24,"2022-10-18T05:15:57,230091,GET /rate/the+shawshank+redemption+1994=5",2022-10-18T05:15:57,230091,GET /rate/the+shawshank+redemption+1994=5,the+shawshank+redemption+1994,5,1994
25,"2022-10-18T05:15:57,278761,GET /rate/the+usual+suspects+1995=5",2022-10-18T05:15:57,278761,GET /rate/the+usual+suspects+1995=5,the+usual+suspects+1995,5,1995
26,"2022-10-18T05:15:58,462496,GET /rate/bambi+1942=5",2022-10-18T05:15:58,462496,GET /rate/bambi+1942=5,bambi+1942,5,1942
27,"2022-10-18T05:15:58,284273,GET /rate/neo+ned+2005=3",2022-10-18T05:15:58,284273,GET /rate/neo+ned+2005=3,neo+ned+2005,3,2005
28,"2022-10-18T05:15:58,449689,GET /rate/the+lord+of+the+rings+the+return+of+the+king+2003=3",2022-10-18T05:15:58,449689,GET /rate/the+lord+of+the+rings+the+return+of+the+king+2003=3,the+lord+of+the+rings+the+return+of+the+king+2003,3,2003
29,"2022-10-18T05:15:58,93342,GET /rate/palookaville+1995=4",2022-10-18T05:15:58,93342,GET /rate/palookaville+1995=4,palookaville+1995,4,1995
30,"2022-10-18T05:15:59,442676,GET /rate/hamlet+1980=3",2022-10-18T05:15:59,442676,GET /rate/hamlet+1980=3,hamlet+1980,3,1980
31,"2022-10-18T05:15:59,41436,GET /rate/schindlers+list+1993=4",2022-10-18T05:15:59,41436,GET /rate/schindlers+list+1993=4,schindlers+list+1993,4,1993
32,"2022-10-18T05:16,571,GET /rate/x-men+days+of+future+past+2014=5",2022-10-18T05:16,571,GET /rate/x-men+days+of+future+past+2014=5,x-men+days+of+future+past+2014,5,2014
33,"2022-10-18T05:16,300865,GET /rate/the+shawshank+redemption+1994=4",2022-10-18T05:16,300865,GET /rate/the+shawshank+redemption+1994=4,the+shawshank+redemption+1994,4,1994
34,"2022-10-18T05:16,610494,GET /rate/the+godfather+1972=4",2022-10-18T05:16,610494,GET /rate/the+godfather+1972=4,the+godfather+1972,4,1972
35,"2022-10-18T05:16:01,141912,GET /rate/schindlers+list+1993=4",2022-10-18T05:16:01,141912,GET /rate/schindlers+list+1993=4,schindlers+list+1993,4,1993
36,"2022-10-18T05:16:01,220781,GET /rate/the+shawshank+redemption+1994=4",2022-10-18T05:16:01,220781,GET /rate/the+shawshank+redemption+1994=4,the+shawshank+redemption+1994,4,1994
37,"2022-10-18T05:16:03,125340,GET /rate/the+godfather+1972=5",2022-10-18T05:16:03,125340,GET /rate/the+godfather+1972=5,the+godfather+1972,5,1972
38,"2022-10-18T05:16:03,192874,GET /rate/the+shawshank+redemption+1994=4",2022-10-18T05:16:03,192874,GET /rate/the+shawshank+redemption+1994=4,the+shawshank+redemption+1994,4,1994
39,"2022-10-18T05:16:03,567700,GET /rate/the+shawshank+redemption+1994=4",2022-10-18T05:16:03,567700,GET /rate/the+shawshank+redemption+1994=4,the+shawshank+redemption+1994,4,1994
40,"2022-10-18T05:16:03,50535,GET /rate/the+usual+suspects+1995=4",2022-10-18T05:16:03,50535,GET /rate/the+usual+suspects+1995=4,the+usual+suspects+1995,4,1995
41,"2022-10-18T05:16:03,321245,GET /rate/the+princess+bride+1987=5",2022-10-18T05:16:03,321245,GET /rate/the+princess+bride+1987=5,the+princess+bride+1987,5,1987
42,"2022-10-18T05:16:04,470961,GET /rate/the+shawshank+redemption+1994=4",2022-10-18T05:16:04,470961,GET /rate/the+shawshank+redemption+1994=4,the+shawshank+redemption+1994,4,1994
43,"2022-10-18T05:16:04,559386,GET /rate/the+shawshank+redemption+1994=5",2022-10-18T05:16:04,559386,GET /rate/the+shawshank+redemption+1994=5,the+shawshank+redemption+1994,5,1994
44,"2022-10-18T05:16:04,256322,GET /rate/spirited+away+2001=5",2022-10-18T05:16:04,256322,GET /rate/spirited+away+2001=5,spirited+away+2001,5,2001
45,"2022-10-18T05:16:05,214941,GET /rate/babette+goes+to+war+1959=4",2022-10-18T05:16:05,214941,GET /rate/babette+goes+to+war+1959=4,babette+goes+to+war+1959,4,1959
46,"2022-10-18T05:16:06,628576,GET /rate/stage+beauty+2004=3",2022-10-18T05:16:06,628576,GET /rate/stage+beauty+2004=3,stage+beauty+2004,3,2004
47,"2022-10-18T05:16:07,513380,GET /rate/the+shawshank+redemption+1994=5",2022-10-18T05:16:07,513380,GET /rate/the+shawshank+redemption+1994=5,the+shawshank+redemption+1994,5,1994
48,"2022-10-18T05:16:07,72256,GET /rate/hubble+3d+2010=4",2022-10-18T05:16:07,72256,GET /rate/hubble+3d+2010=4,hubble+3d+2010,4,2010
49,"2022-10-18T05:16:07,543286,GET /rate/the+dark+knight+2008=5",2022-10-18T05:16:07,543286,GET /rate/the+dark+knight+2008=5,the+dark+knight+2008,5,2008
50,"2022-10-18T05:24:51,212148,GET /rate/the+shawshank+redemption+1994=5",2022-10-18T05:24:51,212148,GET /rate/the+shawshank+redemption+1994=5,the+shawshank+redemption+1994,5,1994
51,"2022-10-18T05:24:51,637321,GET /rate/the+hunger+games+catching+fire+2013=4",2022-10-18T05:24:51,637321,GET /rate/the+hunger+games+catching+fire+2013=4,the+hunger+games+catching+fire+2013,4,2013
52,"2022-10-18T05:24:51,78304,GET /rate/the+shawshank+redemption+1994=4",2022-10-18T05:24:51,78304,GET /rate/the+shawshank+redemption+1994=4,the+shawshank+redemption+1994,4,1994
53,"2022-10-18T05:24:52,460920,GET /rate/the+shawshank+redemption+1994=4",2022-10-18T05:24:52,460920,GET /rate/the+shawshank+redemption+1994=4,the+shawshank+redemption+1994,4,1994
54,"2022-10-18T05:24:53,363018,GET /rate/the+night+of+the+generals+1967=3",2022-10-18T05:24:53,363018,GET /rate/the+night+of+the+generals+1967=3,the+night+of+the+generals+1967,3,1967
55,"2022-10-18T05:24:53,433515,GET /rate/seven+chances+1925=5",2022-10-18T05:24:53,433515,GET /rate/seven+chances+1925=5,seven+chances+1925,5,1925
56,"2022-10-18T05:24:53,332701,GET /rate/schindlers+list+1993=5",2022-10-18T05:24:53,332701,GET /rate/schindlers+list+1993=5,schindlers+list+1993,5,1993
57,"2022-10-18T05:24:53,188094,GET /rate/hannah+and+her+sisters+1986=3",2022-10-18T05:24:53,188094,GET /rate/hannah+and+her+sisters+1986=3,hannah+and+her+sisters+1986,3,1986
58,"2022-10-18T05:24:54,63864,GET /rate/spirited+away+2001=5",2022-10-18T05:24:54,63864,GET /rate/spirited+away+2001=5,spirited+away+2001,5,2001
59,"2022-10-18T05:24:55,132422,GET /rate/in+darkness+2011=3",2022-10-18T05:24:55,132422,GET /rate/in+darkness+2011=3,in+darkness+2011,3,2011
60,"2022-10-18T05:24:55,277799,GET /rate/amlie+2001=3",2022-10-18T05:24:55,277799,GET /rate/amlie+2001=3,amlie+2001,3,2001
61,"2022-10-18T05:24:56,478237,GET /rate/the+shawshank+redemption+1994=4",2022-10-18T05:24:56,478237,GET /rate/the+shawshank+redemption+1994=4,the+shawshank+redemption+1994,4,1994
62,"2022-10-18T05:24:56,48449,GET /rate/schindlers+list+1993=4",2022-10-18T05:24:56,48449,GET /rate/schindlers+list+1993=4,schindlers+list+1993,4,1993
63,"2022-10-18T05:24:57,371268,GET /rate/thirst+for+love+1967=4",2022-10-18T05:24:57,371268,GET /rate/thirst+for+love+1967=4,thirst+for+love+1967,4,1967
64,"2022-10-18T05:24:57,365438,GET /rate/la+femme+nikita+1990=5",2022-10-18T05:24:57,365438,GET /rate/la+femme+nikita+1990=5,la+femme+nikita+1990,5,1990
65,"2022-10-18T05:24:57,633694,GET /rate/spirited+away+2001=5",2022-10-18T05:24:57,633694,GET /rate/spirited+away+2001=5,spirited+away+2001,5,2001
66,"2022-10-18T05:24:58,598273,GET /rate/the+shawshank+redemption+1994=4",2022-10-18T05:24:58,598273,GET /rate/the+shawshank+redemption+1994=4,the+shawshank+redemption+1994,4,1994
67,"2022-10-18T05:24:59,620023,GET /rate/the+naked+edge+1961=3",2022-10-18T05:24:59,620023,GET /rate/the+naked+edge+1961=3,the+naked+edge+1961,3,1961
68,"2022-10-18T05:24:59,47698,GET /rate/oldboy+2003=4",2022-10-18T05:24:59,47698,GET /rate/oldboy+2003=4,oldboy+2003,4,2003
69,"2022-10-18T05:25:01,198707,GET /rate/the+remains+of+the+day+1993=4",2022-10-18T05:25:01,198707,GET /rate/the+remains+of+the+day+1993=4,the+remains+of+the+day+1993,4,1993
70,"2022-10-18T05:25:01,486564,GET /rate/the+shawshank+redemption+1994=5",2022-10-18T05:25:01,486564,GET /rate/the+shawshank+redemption+1994=5,the+shawshank+redemption+1994,5,1994
71,"2022-10-18T05:25:01,209499,GET /rate/e.t.+the+extra-terrestrial+1982=4",2022-10-18T05:25:01,209499,GET /rate/e.t.+the+extra-terrestrial+1982=4,e.t.+the+extra-terrestrial+1982,4,1982
72,"2022-10-18T05:25:01,217139,GET /rate/the+shawshank+redemption+1994=5",2022-10-18T05:25:01,217139,GET /rate/the+shawshank+redemption+1994=5,the+shawshank+redemption+1994,5,1994
73,"2022-10-18T05:25:01,61801,GET /rate/walle+2008=4",2022-10-18T05:25:01,61801,GET /rate/walle+2008=4,walle+2008,4,2008
74,"2022-10-18T05:25:04,223557,GET /rate/never+sleep+again+the+elm+street+legacy+2010=3",2022-10-18T05:25:04,223557,GET /rate/never+sleep+again+the+elm+street+legacy+2010=3,never+sleep+again+the+elm+street+legacy+2010,3,2010
75,"2022-10-18T05:25:04,39777,GET /rate/the+shawshank+redemption+1994=5",2022-10-18T05:25:04,39777,GET /rate/the+shawshank+redemption+1994=5,the+shawshank+redemption+1994,5,1994
76,"2022-10-18T05:25:04,89230,GET /rate/the+usual+suspects+1995=4",2022-10-18T05:25:04,89230,GET /rate/the+usual+suspects+1995=4,the+usual+suspects+1995,4,1995
77,"2022-10-18T05:25:04,641109,GET /rate/oldboy+2003=4",2022-10-18T05:25:04,641109,GET /rate/oldboy+2003=4,oldboy+2003,4,2003
78,"2022-10-18T05:25:05,298822,GET /rate/fingers+at+the+window+1942=4",2022-10-18T05:25:05,298822,GET /rate/fingers+at+the+window+1942=4,fingers+at+the+window+1942,4,1942
79,"2022-10-18T05:25:05,345148,GET /rate/nancy+drew+2007=3",2022-10-18T05:25:05,345148,GET /rate/nancy+drew+2007=3,nancy+drew+2007,3,2007
80,"2022-10-18T05:25:06,432489,GET /rate/the+shawshank+redemption+1994=4",2022-10-18T05:25:06,432489,GET /rate/the+shawshank+redemption+1994=4,the+shawshank+redemption+1994,4,1994
81,"2022-10-18T05:25:06,224743,GET /rate/hadewijch+2009=3",2022-10-18T05:25:06,224743,GET /rate/hadewijch+2009=3,hadewijch+2009,3,2009
82,"2022-10-18T05:25:07,468914,GET /rate/the+godfather+1972=5",2022-10-18T05:25:07,468914,GET /rate/the+godfather+1972=5,the+godfather+1972,5,1972
83,"2022-10-18T05:25:07,120987,GET /rate/skidoo+1968=1",2022-10-18T05:25:07,120987,GET /rate/skidoo+1968=1,skidoo+1968,1,1968
84,"2022-10-18T05:25:07,364933,GET /rate/the+godfather+1972=4",2022-10-18T05:25:07,364933,GET /rate/the+godfather+1972=4,the+godfather+1972,4,1972
85,"2022-10-18T05:25:08,476845,GET /rate/ceremony+2010=3",2022-10-18T05:25:08,476845,GET /rate/ceremony+2010=3,ceremony+2010,3,2010
86,"2022-10-18T05:25:08,544681,GET /rate/the+shawshank+redemption+1994=4",2022-10-18T05:25:08,544681,GET /rate/the+shawshank+redemption+1994=4,the+shawshank+redemption+1994,4,1994
87,"2022-10-18T05:25:09,556116,GET /rate/the+shawshank+redemption+1994=4",2022-10-18T05:25:09,556116,GET /rate/the+shawshank+redemption+1994=4,the+shawshank+redemption+1994,4,1994
88,"2022-10-18T05:25:09,143473,GET /rate/the+girl+with+the+dragon+tattoo+2009=4",2022-10-18T05:25:09,143473,GET /rate/the+girl+with+the+dragon+tattoo+2009=4,the+girl+with+the+dragon+tattoo+2009,4,2009
89,"2022-10-18T05:25:09,351468,GET /rate/schindlers+list+1993=4",2022-10-18T05:25:09,351468,GET /rate/schindlers+list+1993=4,schindlers+list+1993,4,1993
90,"2022-10-18T05:25:10,599833,GET /rate/the+shawshank+redemption+1994=4",2022-10-18T05:25:10,599833,GET /rate/the+shawshank+redemption+1994=4,the+shawshank+redemption+1994,4,1994
91,"2022-10-18T05:25:10,381259,GET /rate/harry+potter+and+the+prisoner+of+azkaban+2004=3",2022-10-18T05:25:10,381259,GET /rate/harry+potter+and+the+prisoner+of+azkaban+2004=3,harry+potter+and+the+prisoner+of+azkaban+2004,3,2004
92,"2022-10-18T05:25:11,506652,GET /rate/now_+voyager+1942=5",2022-10-18T05:25:11,506652,GET /rate/now_+voyager+1942=5,now_+voyager+1942,5,1942
93,"2022-10-18T05:25:11,228844,GET /rate/schindlers+list+1993=5",2022-10-18T05:25:11,228844,GET /rate/schindlers+list+1993=5,schindlers+list+1993,5,1993
94,"2022-10-18T05:25:12,24564,GET /rate/blade+runner+1982=5",2022-10-18T05:25:12,24564,GET /rate/blade+runner+1982=5,blade+runner+1982,5,1982
95,"2022-10-18T05:25:12,619477,GET /rate/oklahoma+crude+1973=4",2022-10-18T05:25:12,619477,GET /rate/oklahoma+crude+1973=4,oklahoma+crude+1973,4,1973
96,"2022-10-18T05:25:13,353037,GET /rate/the+shawshank+redemption+1994=4",2022-10-18T05:25:13,353037,GET /rate/the+shawshank+redemption+1994=4,the+shawshank+redemption+1994,4,1994
97,"2022-10-18T05:25:13,172023,GET /rate/pirates+of+the+caribbean+the+curse+of+the+black+pearl+2003=4",2022-10-18T05:25:13,172023,GET /rate/pirates+of+the+caribbean+the+curse+of+the+black+pearl+2003=4,pirates+of+the+caribbean+the+curse+of+the+black+pearl+2003,4,2003
98,"2022-10-18T05:25:13,510509,GET /rate/spirited+away+2001=4",2022-10-18T05:25:13,510509,GET /rate/spirited+away+2001=4,spirited+away+2001,4,2001
99,"2022-10-18T05:25:14,165994,GET /rate/the+usual+suspects+1995=4",2022-10-18T05:25:14,165994,GET /rate/the+usual+suspects+1995=4,the+usual+suspects+1995,4,1995
100,"2022-10-18T05:25:14,13755,GET /rate/crooks+in+clover+1963=5",2022-10-18T05:25:14,13755,GET /rate/crooks+in+clover+1963=5,crooks+in+clover+1963,5,1963
101,"2022-10-18T05:25:14,567013,GET /rate/spirited+away+2001=4",2022-10-18T05:25:14,567013,GET /rate/spirited+away+2001=4,spirited+away+2001,4,2001
102,"2022-10-18T05:25:14,488377,GET /rate/a+tale+of+two+sisters+2003=4",2022-10-18T05:25:14,488377,GET /rate/a+tale+of+two+sisters+2003=4,a+tale+of+two+sisters+2003,4,2003
103,"2022-10-18T05:16:08,169586,GET /rate/schindlers+list+1993=5",2022-10-18T05:16:08,169586,GET /rate/schindlers+list+1993=5,schindlers+list+1993,5,1993
104,"2022-10-18T05:16:08,472115,GET /rate/schindlers+list+1993=4",2022-10-18T05:16:08,472115,GET /rate/schindlers+list+1993=4,schindlers+list+1993,4,1993
105,"2022-10-18T05:16:09,163137,GET /rate/schindlers+list+1993=5",2022-10-18T05:16:09,163137,GET /rate/schindlers+list+1993=5,schindlers+list+1993,5,1993
106,"2022-10-18T05:16:09,140650,GET /rate/harry+potter+and+the+deathly+hallows+part+2+2011=4",2022-10-18T05:16:09,140650,GET /rate/harry+potter+and+the+deathly+hallows+part+2+2011=4,harry+potter+and+the+deathly+hallows+part+2+2011,4,2011
107,"2022-10-18T05:16:09,180584,GET /rate/the+godfather+1972=4",2022-10-18T05:16:09,180584,GET /rate/the+godfather+1972=4,the+godfather+1972,4,1972
108,"2022-10-18T05:16:09,412118,GET /rate/dancing+in+september+2001=3",2022-10-18T05:16:09,412118,GET /rate/dancing+in+september+2001=3,dancing+in+september+2001,3,2001
109,"2022-10-18T05:16:10,67620,GET /rate/schindlers+list+1993=5",2022-10-18T05:16:10,67620,GET /rate/schindlers+list+1993=5,schindlers+list+1993,5,1993
110,"2022-10-18T05:16:10,395604,GET /rate/the+shawshank+redemption+1994=5",2022-10-18T05:16:10,395604,GET /rate/the+shawshank+redemption+1994=5,the+shawshank+redemption+1994,5,1994
111,"2022-10-18T05:16:12,577901,GET /rate/the+phantom+carriage+1921=4",2022-10-18T05:16:12,577901,GET /rate/the+phantom+carriage+1921=4,the+phantom+carriage+1921,4,1921
112,"2022-10-18T05:16:13,443207,GET /rate/the+godfather+1972=5",2022-10-18T05:16:13,443207,GET /rate/the+godfather+1972=5,the+godfather+1972,5,1972
113,"2022-10-18T05:16:13,118074,GET /rate/the+usual+suspects+1995=4",2022-10-18T05:16:13,118074,GET /rate/the+usual+suspects+1995=4,the+usual+suspects+1995,4,1995
114,"2022-10-18T05:16:14,324579,GET /rate/nightcrawler+2014=4",2022-10-18T05:16:14,324579,GET /rate/nightcrawler+2014=4,nightcrawler+2014,4,2014
115,"2022-10-18T05:16:14,340632,GET /rate/fight+club+1999=5",2022-10-18T05:16:14,340632,GET /rate/fight+club+1999=5,fight+club+1999,5,1999
116,"2022-10-18T05:16:14,461681,GET /rate/maleficent+2014=4",2022-10-18T05:16:14,461681,GET /rate/maleficent+2014=4,maleficent+2014,4,2014
117,"2022-10-18T05:16:14,297326,GET /rate/toy+story+1995=5",2022-10-18T05:16:14,297326,GET /rate/toy+story+1995=5,toy+story+1995,5,1995
118,"2022-10-18T05:16:15,129087,GET /rate/terrors+advocate+2007=3",2022-10-18T05:16:15,129087,GET /rate/terrors+advocate+2007=3,terrors+advocate+2007,3,2007
119,"2022-10-18T05:16:15,180467,GET /rate/the+shawshank+redemption+1994=5",2022-10-18T05:16:15,180467,GET /rate/the+shawshank+redemption+1994=5,the+shawshank+redemption+1994,5,1994
120,"2022-10-18T05:16:16,410299,GET /rate/the+shawshank+redemption+1994=4",2022-10-18T05:16:16,410299,GET /rate/the+shawshank+redemption+1994=4,the+shawshank+redemption+1994,4,1994
121,"2022-10-18T05:16:16,55470,GET /rate/the+shawshank+redemption+1994=4",2022-10-18T05:16:16,55470,GET /rate/the+shawshank+redemption+1994=4,the+shawshank+redemption+1994,4,1994
122,"2022-10-18T05:16:16,341642,GET /rate/the+godfather+1972=4",2022-10-18T05:16:16,341642,GET /rate/the+godfather+1972=4,the+godfather+1972,4,1972
123,"2022-10-18T05:16:16,428009,GET /rate/the+godfather+1972=5",2022-10-18T05:16:16,428009,GET /rate/the+godfather+1972=5,the+godfather+1972,5,1972
124,"2022-10-18T05:16:17,88422,GET /rate/carlas+song+1996=3",2022-10-18T05:16:17,88422,GET /rate/carlas+song+1996=3,carlas+song+1996,3,1996
125,"2022-10-18T05:16:19,237905,GET /rate/the+usual+suspects+1995=4",2022-10-18T05:16:19,237905,GET /rate/the+usual+suspects+1995=4,the+usual+suspects+1995,4,1995
126,"2022-10-18T05:16:19,31873,GET /rate/the+shawshank+redemption+1994=4",2022-10-18T05:16:19,31873,GET /rate/the+shawshank+redemption+1994=4,the+shawshank+redemption+1994,4,1994
127,"2022-10-18T05:16:19,301364,GET /rate/the+godfather+1972=5",2022-10-18T05:16:19,301364,GET /rate/the+godfather+1972=5,the+godfather+1972,5,1972
128,"2022-10-18T05:16:19,350315,GET /rate/the+city+defends+itself+1951=3",2022-10-18T05:16:19,350315,GET /rate/the+city+defends+itself+1951=3,the+city+defends+itself+1951,3,1951
129,"2022-10-18T05:16:20,427320,GET /rate/schindlers+list+1993=5",2022-10-18T05:16:20,427320,GET /rate/schindlers+list+1993=5,schindlers+list+1993,5,1993
130,"2022-10-18T05:16:21,628712,GET /rate/schindlers+list+1993=5",2022-10-18T05:16:21,628712,GET /rate/schindlers+list+1993=5,schindlers+list+1993,5,1993
131,"2022-10-18T05:16:22,159637,GET /rate/an+ideal+husband+1999=5",2022-10-18T05:16:22,159637,GET /rate/an+ideal+husband+1999=5,an+ideal+husband+1999,5,1999
132,"2022-10-18T05:16:22,181592,GET /rate/the+usual+suspects+1995=5",2022-10-18T05:16:22,181592,GET /rate/the+usual+suspects+1995=5,the+usual+suspects+1995,5,1995
133,"2022-10-18T05:16:23,437991,GET /rate/fight+club+1999=3",2022-10-18T05:16:23,437991,GET /rate/fight+club+1999=3,fight+club+1999,3,1999
134,"2022-10-18T05:16:23,473935,GET /rate/the+shawshank+redemption+1994=4",2022-10-18T05:16:23,473935,GET /rate/the+shawshank+redemption+1994=4,the+shawshank+redemption+1994,4,1994
135,"2022-10-18T05:16:24,463849,GET /rate/amlie+2001=5",2022-10-18T05:16:24,463849,GET /rate/amlie+2001=5,amlie+2001,5,2001
136,"2022-10-18T05:16:24,585330,GET /rate/schindlers+list+1993=4",2022-10-18T05:16:24,585330,GET /rate/schindlers+list+1993=4,schindlers+list+1993,4,1993
137,"2022-10-18T05:16:26,295131,GET /rate/the+shawshank+redemption+1994=4",2022-10-18T05:16:26,295131,GET /rate/the+shawshank+redemption+1994=4,the+shawshank+redemption+1994,4,1994
138,"2022-10-18T05:16:26,578502,GET /rate/up+in+arms+1944=4",2022-10-18T05:16:26,578502,GET /rate/up+in+arms+1944=4,up+in+arms+1944,4,1944
139,"2022-10-18T05:16:26,367067,GET /rate/the+shawshank+redemption+1994=5",2022-10-18T05:16:26,367067,GET /rate/the+shawshank+redemption+1994=5,the+shawshank+redemption+1994,5,1994
140,"2022-10-18T05:16:27,396153,GET /rate/spirited+away+2001=5",2022-10-18T05:16:27,396153,GET /rate/spirited+away+2001=5,spirited+away+2001,5,2001
141,"2022-10-18T05:16:27,345678,GET /rate/schindlers+list+1993=5",2022-10-18T05:16:27,345678,GET /rate/schindlers+list+1993=5,schindlers+list+1993,5,1993
142,"2022-10-18T05:16:27,113958,GET /rate/mr.++mrs.+smith+2005=4",2022-10-18T05:16:27,113958,GET /rate/mr.++mrs.+smith+2005=4,mr.++mrs.+smith+2005,4,2005
143,"2022-10-18T05:16:28,335000,GET /rate/the+shawshank+redemption+1994=5",2022-10-18T05:16:28,335000,GET /rate/the+shawshank+redemption+1994=5,the+shawshank+redemption+1994,5,1994
144,"2022-10-18T05:16:28,188407,GET /rate/the+shawshank+redemption+1994=3",2022-10-18T05:16:28,188407,GET /rate/the+shawshank+redemption+1994=3,the+shawshank+redemption+1994,3,1994
145,"2022-10-18T05:16:29,441333,GET /rate/spirited+away+2001=3",2022-10-18T05:16:29,441333,GET /rate/spirited+away+2001=3,spirited+away+2001,3,2001
146,"2022-10-18T05:16:29,119486,GET /rate/frozen+river+2008=3",2022-10-18T05:16:29,119486,GET /rate/frozen+river+2008=3,frozen+river+2008,3,2008
147,"2022-10-18T05:16:29,63557,GET /rate/finding+nemo+2003=5",2022-10-18T05:16:29,63557,GET /rate/finding+nemo+2003=5,finding+nemo+2003,5,2003
148,"2022-10-18T05:16:30,274815,GET /rate/forbidden+1932=3",2022-10-18T05:16:30,274815,GET /rate/forbidden+1932=3,forbidden+1932,3,1932
149,"2022-10-18T05:25:15,560332,GET /rate/the+godfather+1972=5",2022-10-18T05:25:15,560332,GET /rate/the+godfather+1972=5,the+godfather+1972,5,1972
150,"2022-10-18T05:25:16,17527,GET /rate/the+shawshank+redemption+1994=4",2022-10-18T05:25:16,17527,GET /rate/the+shawshank+redemption+1994=4,the+shawshank+redemption+1994,4,1994
151,"2022-10-18T05:25:16,300680,GET /rate/schindlers+list+1993=4",2022-10-18T05:25:16,300680,GET /rate/schindlers+list+1993=4,schindlers+list+1993,4,1993
